time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2019-12-01,274.51678,34.398495,20.417723,19.315683,0.25021482,5.109184,17.939285,59.050053,0.004017702,49.716652,177.72397,5.2469387
2019-12-08,271.5914,31.203007,19.966166,17.16928,0.23223414,5.042857,0.8346939,55.8203,0.0030990546,80.20913,232.42644,5.09377
2019-12-15,267.34845,35.7594,18.632008,15.162836,0.19208378,4.0188775,0.4867347,50.96466,0.0024600537,71.68872,230.32759,4.758432
2019-12-22,268.45114,33.804512,17.618044,15.339099,0.23923738,4.6357145,0.0,51.412457,0.0024111383,79.83362,222.64767,4.3530607
2019-12-29,273.78333,30.49624,17.506016,17.327389,0.37339422,6.1397953,21.664797,47.896347,0.004476208,79.479805,165.8711,4.2252417
2020-01-05,275.4754,39.57143,19.47841,18.456928,0.16531685,5.982143,3.7714286,63.589478,0.0031228357,61.97207,237.71216,5.7801294
2020-01-12,277.86948,41.015038,17.758862,14.124813,0.22142854,8.316836,32.59898,54.481747,0.00291522,61.991085,167.02042,5.761547
2020-01-19,273.47336,39.94737,18.424706,15.505694,0.11548872,4.722449,15.790308,62.62503,0.0024616327,78.2826,200.12138,5.7223415
2020-01-26,274.17798,25.984962,18.805908,19.123844,0.12786251,4.9647965,13.766328,68.710846,0.0027665736,63.25757,210.67778,4.250806
2020-02-02,276.53015,24.954887,21.366703,25.680666,0.19839954,6.5928574,1.0755103,68.079704,0.0031357894,80.19474,199.06981,3.1373792
2020-02-09,275.86444,33.090225,20.65478,16.828894,0.18232007,7.321429,6.965306,60.97046,0.0027995273,67.863266,121.19228,5.324812
2020-02-16,273.18378,30.691729,19.856606,17.276262,0.1292696,5.1821427,5.590306,59.144474,0.0022899464,103.733086,260.53064,4.3794847
2020-02-23,277.39066,38.87218,19.067669,14.7386675,0.30883992,12.391838,3.5030613,40.914715,0.0021994845,139.90721,246.77338,5.429001
2020-03-01,276.51987,43.18045,17.323202,12.630613,0.26983887,11.607654,4.982143,49.84168,0.0024753707,122.93393,207.6391,6.48507
2020-03-08,283.80234,46.43609,15.663266,12.317293,0.47766912,18.293367,1.2683674,36.694305,0.003070752,168.53888,256.2492,5.5445757
2020-03-15,282.22836,39.0,16.607302,16.028786,0.28610098,12.465816,13.284696,53.063374,0.0040415893,158.45187,182.13643,5.0410314
2020-03-22,280.31546,32.924812,16.975618,16.579054,0.23256713,10.108164,18.365309,58.98228,0.0039884634,149.51985,186.34589,4.7412457
2020-03-29,284.8207,32.736843,18.269497,18.573147,0.25201932,11.456634,19.757145,58.384,0.005223974,163.79291,115.52953,4.828572
2020-04-05,284.41342,28.969925,18.310955,15.547262,0.4111171,14.292347,1.6540817,49.081524,0.0041225236,184.58485,155.3072,3.545113
2020-04-12,290.74255,39.57143,17.915682,14.839205,0.6655424,22.67653,15.809184,37.36885,0.0052863155,201.69043,235.1944,4.5818477
2020-04-19,281.901,44.533836,16.958538,12.572288,0.44899032,18.919897,7.832144,38.043606,0.0027984641,215.30827,251.21693,5.205048
2020-04-26,286.78455,40.962406,16.05188,13.3615465,0.49665946,20.17449,12.308163,47.693016,0.0045592696,200.45468,144.52094,4.9958105
2020-05-03,292.86768,33.31579,18.445543,16.90537,0.7503652,25.385204,50.242348,58.027496,0.0062480774,215.4407,253.35016,4.784103
2020-05-10,285.8351,38.030075,17.511278,13.1502695,0.5091193,21.54898,9.386735,75.92202,0.0040478734,256.7437,179.10742,5.2104187
2020-05-17,292.07248,32.74436,17.743181,15.538991,0.5818904,23.066326,103.362755,82.018585,0.007185231,238.92685,183.30936,4.65145
2020-05-24,294.7756,28.300753,20.010742,17.37723,0.69389904,23.966837,19.859694,84.839745,0.009140439,221.21419,100.929115,4.32406
2020-05-31,299.2027,28.796993,19.052633,13.580558,1.1294953,32.6199,11.142347,76.78571,0.00975044,276.86285,217.14929,3.6825993
2020-06-07,301.19418,38.954887,17.126745,11.756605,1.2030612,36.72449,1.6392858,80.91494,0.010905327,295.95853,152.92699,4.296348
2020-06-14,298.51373,37.857143,16.524384,13.009237,1.0730827,36.94388,16.020916,79.16068,0.009311718,316.816,131.85822,5.645757
2020-06-21,301.54153,35.894737,15.225565,11.070032,1.3480237,36.826534,6.518878,76.3071,0.010080838,334.50742,156.34155,3.0801291
2020-06-28,300.57993,32.00752,16.501932,14.941138,1.0064017,32.438774,36.123466,84.60408,0.011592815,286.03586,230.48224,3.970677
2020-07-05,303.962,28.699247,16.88679,14.516111,1.1583567,34.303062,6.79898,87.52836,0.0143105695,319.51932,72.938774,3.1306124
2020-07-12,303.8263,27.105263,16.328573,13.842212,1.227798,33.521942,16.651531,84.7769,0.013935531,305.27896,188.94951,3.1998928
2020-07-19,302.18643,30.428572,16.98507,15.153061,0.9933405,32.065304,27.913773,84.88162,0.013824693,301.42227,156.36305,3.9406013
2020-07-26,302.52542,25.0,17.372074,15.045649,1.0201074,29.942348,2.7974489,86.870995,0.014053449,288.19775,201.04834,2.9389904
2020-08-02,301.2103,33.037594,16.827284,14.396028,0.9937056,30.391838,22.433674,85.33341,0.012786113,271.03085,169.06015,3.7069817
